#saturdaynight,,0.09469999999999999,1,1,5
#democracy18,,0,0,0,0
#estadioazul,,0,0,0,0
2018-04-21 21:28:12,tweet_volume,avg_score,pos_count,neg_count,neu_count
anthony davis,20803,0.17427142857142863,5,4,26
#ufcac,,-0.09480190476190474,19,35,51
verne troyer,150727,-0.06263456790123458,11,22,48
#moviesforwhenyoujustcanteven,,-0.14985,0,1,3
#fixmylife,,-0.07005833333333333,2,3,7
jrue,31439,0.19783999999999993,7,4,19
#mostrequestedlive,32432,0.39738974358974344,50,1,27
#orlvsj,,0.06305,0,0,4
david bote,,0.636,4,0,0
the pelicans,15975,0.09864166666666667,1,0,11
capela,,-0.765,0,1,0
taj gibson,,0.0,0,0,1
gleyber torres,,0.32330000000000003,2,0,2
connor brown,,0,0,0,0
jack johnson,25220,0.46218333333333333,12,1,5
rene rancourt,,0,0,0,0
towns,,0.39347173913043476,2,0,44
zach collins,,-0.128,0,0,1
ninja,55409,0.10749318181818181,7,3,34
terry stotts,,-0.4235625,0,6,2
lil'jordan humphrey,,0.6114,1,0,0
dvalishvili,,-0.03581960784313724,2,6,43
eric gordon,,-0.148,0,0,6
nurkic,,0,0,0,0
rick nash,,0.0,0,0,1
casey thompson,,0,0,0,0
mitt romney,,-0.253226923076923,1,10,15
andrew wiggins,,0.0858,1,0,10
zack godley,,0,0,0,0
justin mcmillan,,0.0,0,0,1
danny farquhar,11084,0.19191250000000004,4,2,2
josh reddick,,0.1027,0,0,1
#bronervargas,,0.11871999999999998,3,0,7
#toyotaowners400,,0.0516611111111111,1,0,17
#svengoolie,,-0.06919375,0,3,13
#chivnj,,0.31245,1,0,1
#clbvne,,0.25,1,0,2
#utgop,,0.30435,0,0,4
#fcdvphi,,0.6637666666666667,3,0,0
#copadelrey,68446,0.0,0,0,1
#torvsbos,,-0.2876,1,3,2
#thethomascrownaffair,,0,0,0,0
#icca,,0.0,0,0,1
#rslvcol,,0.12120000000000002,0,0,5
#saturdaynight,,0.07365555555555554,1,1,7
#democracy18,,0,0,0,0
#estadioazul,,0,0,0,0
